,summarization
390,this hotel for us was a good place to stay while in transit to other places. it is close to the train station which is handy and had good food at the restaurant. we found accomadation in delhi to be either too expensive or cheap.
391,room was very dark and dingy with only one window that lead to a concrete wall. we also had an outside guy outside our room all of the time who kept spitting. try to avoid as they clearly don't clean the sheets.
392,"we booked to stay here 12th October 2007 on our first night in india. we were picked up at the airport at gone midnight, and fair play to the driver, he waited a good while for us because our plane was delayed. the check in procedure is lengthy, but we eventually got checked in and taken to our room. our real problem with this hotel came with our 'CONFIRMED BOOKING'quot; for the last two nights of our holiday."
393,the hotel manager sent it outside the building to get a photo copy of my passport. he told me that my ID was not good enough and wanted copy and passport to be sent back to my room and I could now check in to the room. but I insisted that I get my license back before I move in because I did not want to take any chances with it.
394,my friend and I stayed in a &quot;suite' room with no window. the showers were open (no door/curtain).
395,"review prepared by two senior citizen couples that have traveled extensively in the far east and limited their hotel cost to between $20 and $40 US per room per night. stayed in this hotel on two occasions for one night each at a cost of $42 per day per hotel room including breakfast. Found hotel to be excellent. Rooms were clean, of sufficient size, central air conditioning and heat - and central hot water. breakfast buffet on roof was adequate but not extraordinary. hotel personnel were friendly, courteous and very professional."
396,"we stayed in this hotel for a few nights in Jan after being recommended to it by couple we met at another establishment. they pre-warned us that the sheets, although apparently cleaned, did have some mysterious stains - as if they'd been stored on the floor, and that was certainly the case. so we decided to book it for our last night in Delhi before we flew back to the UK."
397,"we arrived early morning to Delhi and a lift from the airport was arranged via the hotel. the room was fine, perhaps not up to European standards (good cleaning could help). staff was rather helpful. The best was the restaurant: quite cheap and really good (the most important: no problems whatsoever whatsoever afterwards)."
398,our stay at the Grand Godwin was simply average. it's located in the back street of Delhi and looks like a 'dodggy&quot; neighborhood'
399,the hotel is situated in the back streets of the paharhganj district of Delhi. the reviewer from canada has stated they d have internet access but i have just been informed that they charge 25 Rupees per hour and not free as it states on their card.
400,"this small, friendly, cheap, clean hotel is the best option in Delhi in the 3-star range. they have an internet connection that doesn't work superbly well but is free. and you can make cheap phone calls abroad. the restaurant is very decent."
401,I came to New Delhi to do a professional exam at Ramnath House Yousuf Sarai Community Center. all staff was very helpful and cooperative... especially the receptionist!
402,"staff is very courteous. I am very pleased with the staff. the owner/management should have good outlook and try to improve the condtions. air conditioning is not adequate, Staff maintains the rooms and bath rooms to their ability."
403,"the place was a little bit far from for example the city centre. Otherwise it was good. the hotel was quite good in terms of the rooms, amenities, facilities like the restaurant and conference setup."
404,we wre around 18 doctors stayed in Grand sartaj. execlent Hospiltality given by staff neat n clean place to stay at reasonble price.
405,"we stayed at this hotel for one night, out 1st night in Delhi, it was a horrible experience. the breakfast was terrible and overpriced.we did not stay here as we couldn't bring ourselves to enter the hotel again."
406,"the staff couldn't do enough for us, we left our safe open in the room while we went for breakfast and the boy making up the beds drew it to our attention when he could have easily helped himself. also when my husband was struck with Delhi belly, pretty inevitable, they immediately let us have our room for another night and made all the phonecalls to tourguide, taxi etc."
407,the front door staff told the driver three times he didn't know where it was yet they allowed him to leave. a taxi was arranged and we walked back to the hotel and waited for 15 minutes for the lifts to get directions before finding it. the staff said the fixed price was the mimimum price.
408,"the hotel itself is a tall tower, I think 17 stories if memory serves. the interior is spotless, businesslike, and modern. The rooms are really pleasant - excellent quiet AC, nice linens, modern furniture, plasma TV, safe, great views of the city."
409,"this is one of the good hotel located centrally in New Delhi. a bird's view is the most important point of this hotel. its away from airport but near to railway station.Rooms are clean, well decorated. Food is OK but very costly."
410,"we liked the restaurant with a view of trees. it's not the wild west as described by previous reviewer, but its safe."
411,this hotel located in the heart of the city is best suited to travellers whether on a pleasure trip or business. i had an evening flight to catch and my room was automatically upgraded from executive to deluxe upon my arrival.really appreciate their efforts.
412,"we had been to a conference in Delhi, We happen to stay at this hotel for two nights. every visit of mine was same with warm welcome. they serve welcome drink on arrival. the Rooms are on very higher floor with view of the city. it is just excellent."
413,staff and service was excellent. Location of the Hotel was good. close to shopping area CP of delhi.Timing and quality of breakfast were good.Overall it was a nice experience at Hotel stay.
414,the view of the busy roads of Delhi was quite a sight. the room size was adequate but the carpet could do with some vacumming. The house keeping surely could improve and the standard is clearly indicated from the towels that are kept for use.
415,"have stayed at this hotel about 5/6 times during my business visit. centrally located, very good restaurants, clean rooms and overall a very nice place to stay. my frequent visits were good enough for me to get upgrades."
416,"we stayed in the hotel as part of a package and it was very good. they upgraded our room as we were going to be there for 9 nights and the rooms on the 19th floor are big and clean, although the lifts erratic."
417,"the hotel was part of a tour package. my room was clean, the bed comfortable and staff very attentive to this tired travlers needs."
418,"excellent hotel although slightly overpriced. clean comfortable rooms. helpful staff, but extras such as tours organised through the hotel more expensive than at other hotels we stayed at."
419,"I stayed in this hotel for 3 nights for the start of a 3.5 week tour of India. the room, although not very large, was beautifully appointed.the breakfasts were great. Interesting Indian food as well as continental.good location - close to the (very clean and modern) metro line.I would definitely consider staying here again."
420,tripadvisor asked for a place in downtown Delhi for 100$ and quality. they quoted my 260$ on the phone and told them that they're site was 102$. the rates are all fine and it really is 4 star.the location is gold but still rickshaw is required as there are plenty of pathetic touts around the hotel.
421,"the hotel was part of a package that included airport to and fro transfers, transfers to train to Agra plus taj &amp; Fort tour. the package price was very reasonable - given the overall package cost it was quite reasonable. we got guide one day to tour Delhi itself then the other two days were arrival and the second day was arrival in the area of Connought. they said they felt safe both during the day as well as the evening."
422,"the inside of the Hans is clean, well looked after and the rooms are well furnished and a reasonable size. they are also high enough away from the street to shield you from traffic noise outside (remember, this is the centre of Delhi). the staff speak good English and were helpful and attentive to our many requests, at any time of day or night."
423,"the hotel is on par with a 4 star hotel in UK and all the amenities were present, like table, chairs, flat screen tv, nice king size bed,safe etc. the walls are quite thin so you could hear next door which was the only down side.Overall good place to stay to explore New Delhi."
424,Located close enough to many restaurants and shops but the hotel floors are high enough that you are not disturbed by traffic noises. very clean and nice hotel. excellent breakfast.
425,"stayed 2 nights at the Hans Hotel in November, 2008. Didn't actually stay in the room much, as I was on tours all day, both days. the problem was that I called Housekeeping 3 times to bring a power adapter, because my universal kit does not fit the power outlets in India. they kept saying 'yes' but it never came."
426,we booked three rooms for our family members on our way back to Auckland after the marriage of our son in Amritsar. the hotel looks okay but the office staff are terrible-eg I get a call at 11pm one night asking me when will I settle the hotels bill.
427,"the hotel is in the heart of the city and centrally located. there were so many issues including the additional dollars they charged for a cancelled night. from the bell hop, to the front desk clerk, there is no hospitality. I am not going to stay here anyone."
428,stayed at the Hans for one night because it was close to new Delhi railway station. the room was good enough and worthy of the 5 star rating of this hotel (As well as the high price for India)
429,stayed 2 days in the hotela great reward to end your trip in india. the best hotel i have ever been a bit expensive for india but worth it it.. stay 2 nights in 2days in hotel.
430,the food served at the Hans is better than all of the five star hotels that I've stayed at in New Delhi even though it is only a Four Star hotel. the staff was friendly and cooperative and the rooms were EXTREMELY clean. The buffet breakfast was also excellent...I recommend their doughnuts especially.
431,the Hans Plaza is a clean and centrally located hotel. the hotel offers one sense of comfort at what seems to be reasonable price for Delhi ($150 inc. taxes per night). overall staff was very friendly - but one must be careful of things:1. There are vast differences b/w the different rooms with regard to confort and age of beds etc.
432,"the resteraunts at the hotel are good, and offer a variety of foods to eat. they upgraded me the last day I stayed there to the deluxe room, which was very nice."
433,"the rooms were a good size and start on the 15th floor. it was great as I could watch the black kites circling in the sky outside from the room, which was good as i could tell by the buttons in lift (floors 5-14 were missing) we ate at the Kaffe restaurant on 2nd floor and found the food of the best food I've eaten!"
434,"Hans Hotel is a pretty nice place. the rooms are big, the views are nice and the restaurant is good. in fact, it was absolutely wonderful as they served beef! I cannot tell you how awesome that was. The staff seems pretty willing to help."
435,"the hotel provided a welcoming plate of fruit and cookies upon my late arrival after 1 am. the room was very clean, had flat screen TV, and nice little extras such as free bottled water and kettle. overall it was utilitarian rather than elegant, but the condition of everything was excellent."
436,"we stayed here as part of a private tour and I was impressed with the hotel. it's not in the same league as the big name hotels but I'd stay here again. if I were going to invest in something, I would buy the Travel Lodge franchise in India and set up low cost modern hotels!"
437,"stay at the Hans Hotel (no longer Hans Plaza) beginning of October. the rooms are on the 14 th floor, so there is an excellent view over delhi. breakfast buffet was adequate, but not a huge selection."
438,"Arrived in india in Delhi with prebookes premium double room for 3 nights at Hans Plaza. Spent $275/night including taxes thru Travelocity. this was in beginning of high season, end of September. arrived at midnight and was told our room was not available until the next day but they had an upgraded suite for our first night."
439,"an average hotel with lifts that dont workBeware of using their phone, I made a five minute call to the uk and they tried to charge me over £40. the location is good but the restaurant is overpriced.you can do better."
440,the Hans Hotel is well located in Conaught Place. it ia a bit poor hotel for the price. in Europe you would get an far better hottel fot the prices you pay. but Delhi in general is far more expensive than the rest of India in terms of hotels and I belive there is no mid range.
441,"flightcentre had rated this hotel as four star but when we arrived we were in for a real shock - the rooms were dreadful, small and pokey and threadbare. the hotel was one of the best hotels we have stayed in ever, so this was not an case of misunderstanding the quality provided in India."
442,"the Hans Plaza was expensive for a pretty average hotel stay. the hotel was well-located, within minutes of walking to Connaught Place and the area was safe. i suppose this may be good value in Delhi where hotel prices are known to be sky high at times!"
443,"good location, within walking distance to great restaurants, shopping and subway/metro station right around the corner.we stayed at this hotel during the last part of our trip to India, which was a relief for us."
444,"our stay at Hans was the icing on the cake. the hotel was a fabolous hotel run by an amazing team. Personalized but at the same time professional. thanks to the ever so friendly Front office team, F&amp;B team and the perfect service from the House keeping."
445,"the hotel is a 2 min walk to the metro - an excellent way to get around! Overall, Hans Plaza is highly recommended."
446,"stayed here as part of a tour group - but I've seen how expensive it is on their website. rooms were clean and comfortable and the hairdryer didn't work, but the staff were very friendly and helpful."
447,"we spent the first two nights of our Indian holiday in this centrally located hotel, close to shopping and with easy access to both New and old Delhi. the breakfast was good, though it felt a bit warm in the sunshine through the windows of this breakfast room. staff was unenthusiastic but adequate. we would stay here again."
448,"the hotel was moved to the second floor, our hotel directory stated it was on the top floor. the wait time for food was exceptionally long and the restaurant manager started shouting at them in front of customers. we could go on, but I think that is enough."
449,this hotel does not respond to e-mails and booking forms on the website. it does a great damage to an already bad image of Indian hotels.
450,"we booked the Hans Plaza via the internet for three people. at check out, we were charged an extra 25USD for the cot, which never arrived. when discussed with management they refused to amend the bill. the room itself was modern and clean- but pity about the terrible service."
451,"internet connection was done via WIFI and very expensive because it was so slow. the bar staff at the roof top bar were the slowest people ever, no imported beers avaliable. there was only a hand full of chairs no where to sit.the resturant on floor 2 was clean and newly decorated, but very slow again."
452,we stayed 2 nights in Hans Plaza at arrival and departure from india in febr-March 06. The room needed renovation but the second room on the 17th floor was OK with a superb view.
453,"stayed in this hotel as part of group a three families, on arrival in Delhi and just before departure. had no problems with our accommodation: it was clean and warm. restaurant staff charming. food excellent!"
454,"breakfast buffet is decent and the staff are very good and kind. the hotel lacks the facilities of pool, gym,etc., but they run a good show."
455,"we got to the hotel very late in the night...3am,the room was below average, the toilet looked clean but there was a nasty smell. to top it off though our electricity kept cutting out, it took 4 phone calls and the duty manager to rectify this. don't stay here if you can help it...disgusting service and manky rooms!"
456,i booked a room in indian rupees and told them its really not good cheating customers just because you can get away. the receptionist calculated the bill wrongly and cannot even do basic math like (16 + 18) and they charged me more than they quoted.
457,"the 3rd night I checked in there I was given a room on the 17th floor which was far inferior to their other rooms. complained but was told they were full. no bathtub, no coffee/tea facilities and not even bedspreads in the beds. in my opinion only 3 star standard for these rooms."
458,"I've stayed in Hans Plaza in September 2004. the rooms need renovation and the reception area is not that comfortable, but the staff was friendly and helpfull. Connaught Place and Janpath are 15 min. walk away."
459,the hotel is too expensive for what it is.PROSLocationCONSThey ripped us off with the taxi cost coming from the airport. use the prepaid taxi when you arrive at airport.not really cleanNoisyForget about the restaurant's restaurant.
460,"the whole area around this hotel is 'under construction', which made getting to it (and even finding it) quite difficult, it also didn't feel very safe at night. hotel staff were helpful, rooms were dodgy (run down and dusty) well overpriced, basically your paying for the city location."
461,it was a clean and economically priced hotel right on Connaught Place. the hotel was located in the heart of the city - just off the circle of st james's outskirts.
462,hotel 55 is an adequate hotel with a 70's styled interior which is quite in need of an update. it is centrally located in Connaught Place and thus convenient for exploring.
463,"hotel 55 is an excellent option to stay when exploring Delhi.Rooms are clean, staff are friendly, good airport pick up. be aware of unscrupulous travel agents that roam around and in the hotel."
464,"the 'quot;55' has friendly and unfailingly helpful management and staff, comfortable and clean rooms, and in the heart of New Delhi. the tariff is not bargain basement (but then what is cheap in Delhi nowadays?), but given its plus points I wouldn't stay anywhere else (although I would avoid the front rooms), which tend to be a little noisy!"
465,"hotels in Delhi are expensive, but for a thousand more rupees ($20), you can get nicer rooms that are welcome respite from the craziness that travel in India can be. rooms are small, bathrooms are purely functional but grotty and inconsistent, of our three rooms, only one shower actually worked; one provided hot water."
466,thes hotel it is very good and Comfortable and Good service and the most important thing in Central City I stayed three days in it. it was the best hotel in central city and it has a great location. the hotel was very nice and comfortable and good service.
467,"hotel 55 is a one star hotel with 15 rooms. the hotel is in Connaught place, in the city of london, scotland and the u.s. it is one of the best places to stay in this country. if you are traveling here, you should immerse yourself in their culture."
468,this is probably the worst hotel that I've resided in New Delhi. I requested the hotel staff to atleast spray some insect repellant but it fell on deaf years. the rooms were terrible and moldy. Avoid like the plague!
469,"hotel 55 from the lonely planet is the most squalid and disgusting place i've ever seen. the hotel website is incredibly misleading and claims to be 3 star, when I would question how it was ever classified as a 1 star. it ruined our experience of Delhi and I wish I had photos to add to my review."
470,"hotel website in this case is perhaps a bit misleading) but if you want reasonably priced basic accomodation then you can't go wrong. staff were fairly helpful. all in all, I was quite satisfied with what I got for my money. Could have paid less and stayed further out from the centre, but enjoyed waking up and having everything on my doorstep, seeing as it was 'a short stay'"
471,hotel 55 was the cheapest we could find but 3000rp (about $80) for this dump was a complete rip off. we only stayed there because it was too late to be lugging our backpacks around.
472,"the guy at the reception works with some locals that hang around in the 'lobby' who try to scam you every way possible. they did the whole phoning-the-airline-to-reconfirm-a-flight-and-discovering there-is-no reservation charade, selling ridiculously expensive tours that are crap, and every other scam they think you might fall for... this is absolutely the worst place i have stayed in while in India!"
473,at night there were permanently men sleeping in the corridor right outside our room. one was a skinny old man with big long beard - don't think he would have been much use in an fight. the owner tried to charge me for 2 nights despite the fact i'd paid online for the first night.
474,"the room charge they had up on the board was 1,000 Rups more than the Indiatourism pamphlet indicated, got into room and it was terrible, small grotty and generally crap. arrived late at night on train and didn't really have any other options at that time the hotel was already booked when we arrived we found that the charge was a '1000' rup plus the fee they were charged for the rooms was 1000 - compared to the indiatourism pplet's indicated and got in room"
475,"they overcharged me for the room and mistakenly paid without checking amount first. when I noticed, they admitted 'cheating' me out of money but refused to refund it. they said they would call the police if I didn't leave immediately without refund and would tell them that I had physically attacked the manager. all staff started nodding vigorously and I realised I was outnumbered and left having lost 2,500 rupees."
476,"we ended up staying here after our travel agent switched us last minute. by far, it was the worst hotel we have ever stayed in. staff were rude and dismissive, rooms were like a prison cell and really dirty."
477,hotel is ideal for a short stay and charges around Rs 4500/= per night for double room. it is located in the P block at CP and is situated in delhi's san francisco city centre.
478,"my wife and I stayed at this hotel for 3 nights in febr 2008. it was my 4th visit to india, and this is the worst hotel I've seen in the country."
479,unless you are on a budget ($80 and less) stay elsewhere. stay in leMeridian or Shangri-La ($300AU p/night)
480,"we booked a double room from Italy, looking at the pictures on their site. when we arrived the room was the smallest room I've ever seen and without even any WINDOW. the bath was terrific and very dirty and the bottles of water we found in the fridge were refilled as they were already open."
481,"hotel arranged airport transfer, it cost 925 rs really too much. the hotelier was keen to arrange tours but that put me off. most rooms have no natural light."
482,the hotel rooms are unclean and we had a job to get sheets and towels changed daily. the lazy room attendant reversed this to read 'please clean my room&quot; tag on the door' the coffee shop has about 10 waiters who simply wait and watch the TV despite being called for help several times. even the manager has no time for you. Overall it is the worst hotel we have ever been to so far in India.
483,"we left first thing in the morning and made our way to the hotel Vikram in Lajpat Nagar, south delhi, which was clean and lovely and smelled great. we wanted to be centrally located but didn't want to pay luxury hotel prices and Alka was recommended at the airport...the elevator was being torn apart in a lobby, that was ok, then there was the smell of the hallways with the rotting carpet, bad sign."
484,"the alka hotel is a relatively clean and tidy small hotel, but the decor is old. one small hallway on the second floor has mirrored walls and ceilings, and the lobby walls are adorned with fancy gilt-framed mirrors! are the owners of this place also in the mirror business???"
485,travel agents booked this hotel for us for two nights. we were booked into a deluxe room which gave notice of what was in store for our guests. the hotel is text book definition of an'seedy hotel'
486,"the lady at the desk kept answering the phone instead of checking us in. the room was hurrily cleaned, the bathroom was worn into and the place smelled of stale urine."
487,"the staff speak/understand very litle English, our promised (confiremd via email) hotel airport pickup service never arrived and we never got a clear explanation of why... the rooms are small and old. they are dusty, toilets leak, bathrooms have broken tiles, the tv signals are very poor and often not there at all."
488,"the hotel would be lucky to score 2* in any other countries. stayed in alka for 3 nights, do not believe the 4* rating, but it would have a 'city tour' if you're in it, try to arrange your own taxis as well as the receptionists only call their chums who charge you through the nose and refuse to switch on the meter."
489,"staff were rude, and were aggrieved when we didn't give them a tip. Avoid. stay in south Delhi instead."
490,our room was cleaner than the Hotel Perfect (see my other review) but what really was astonishingly bad was the service. the staff were intent on getting tips from us and b) entering the room for various'reasons'
491,"stayed for 3 nights. the room was clean and the staff was the best.. good hotel, would recommend to anyone. great hotel. staff were exceptional. Oh and they also had Wi-Fi."
492,we stayed here for 5 nights in total (spread over three separate visits) it is what I would call a basic 3 star hotel.
493,"there was supposed to be an airport pickup in the deal - that did not happen. the room had NO windows, the bed had a bottom sheet and on the top was just an ice-cream blanket and no top sheet. I was charged double the fee back to the airport than the amount I paid for taxi to this hotel as well and it was driven by someone connected with the hotel. this was listed on an international hotel site and I have written to them about my concerns about this place and note that they are no longer on that site "
494,this was our first stop in India and was organised through the tour company. the hotel was only about 50m away from the main shopping street and if you need a landmark then 'Punjabi Sweets' is in the same lane.
495,"a clean place, friendly staff, good place to startAn India tour. the breakfast was excellent and the staff were very helpful. I cannot imagine the better place.a simple but tasty breakfast. Nothing more to be desired[as far as hotels go]."
496,"the staff went out of their way to help us negotiate prices before we jumped in. the breakfast was always hot, timely and very tasty. The Massala Chai was to die for; we ordered it everyday without fail."
497,"the hotel Aster Inn is well located, within reasonable reach of new Delhi centre (2 stops on the developing Delhi Metro) the service was great, and the manager was accommodating and helpful with all of our enquiries."
498,"theze people have real pictures on there website of the room they were havin,i got one of them...yeppei...room service was quick in the morning,nice room, well decorated &amp; good staff with a smile."
499,"the hotel itself looks okay until you get to your room... the bed had a bottom sheet, and that's it! I asked for one and got another single sheet. I pulled it off and told them to replace it, but was told it was clean!! the staff are not 'Qualified &amp; Trained Staff' as their web site states!"
500,"the hotel was situated in what was not a great area. it was also close to the metro, making it easy to get about without having to shout for taxis."
501,"the hotel is a comparative oasis to the bustling and grubby streets that surround it. the rooms are clean and comfortable, with adequate showers, and the staff are generally attentive (even calling to ask if we wanted beer...) breakfast was painfully slow in arriving - half an hour for toast stretches credulity."
502,staff were extremely friendly and helpful on arrival at the hotel. they all went out of their way to help us whether it was directing us to a local hot spot or providing general tourist information. the breakfasts were delicious and the traditional masala tea addictive (room service was efficient!).
503,"hotel staff was very courteous, helpful, efficient and speaking perfect EnglishI suggested the hotel to offer internet access. the room looked new and well decorated - enjoying air-con and hot shower was no problem, and there was even a fridge!"
504,"new Delhi hotel is crazy expensive in Connaught place and not worthed. if you choose other convenient area, the hotels are old and the area is dusty, noisy and old!"
505,telephone booking is always confirmed whenever I have stayed here. check-in is smooth. Sevice is good. breakfast is complimentary which is a plus.
506,"we chose this hotel after hours of searching on the internet and reading in books as there is so much choice in Delhi. the hotel offered a free pick-up from the airport but couldn't manage to get through to them to arrange one. they refused to pay for our taxi when we arrived, and also declined to take us back to airport the following morning to compensate - the room was very dirty and there were flies and even cockroach in the bathroom."
507,"the hotel charged us RS 900 which is what you normally pay for renting the car for a whole day. prepaid taxi will cost us 250, but the driver told us that we had not paid for the trip in advance. that made us very angry and we will never recommend this hotel to anyone."
508,"hotel did not honour our booking through Hotels.com on 17 – 20 April 2009. we were travelling with two children, one 3.5 and the other 18 months. the booking was for the night of 17 April 2009. we arrived in Delhi at 2 am in the morning of 18 April."
509,this hotel is one of the small hotels located in crammed up localities of Old Delhi.It is recommended if money and price are a issue for you.
510,"the room is clean, and the hotel price is reasonable cheap!. the staff is nice, asked me for water several times, but finally charge me 50Rs, it's OK!"
511,"we booked a suite thru expedia, selecting the hotel based on its free airport pick up advertised. we arrived at midnight, no one was there. Eventually we were met by their employee who got us cab. the driver got lost. We gave our itinerary # and we gave the room. no problem, we would get is sussed out in the morning, I was too tired to argue."
512,we had two different rooms - one at the back looking towards the mosque and another on Asif Ali road side. the air-con worked (which in July was essential) the bathroom was clean.
513,i liked the place while my stay with some of my friends. it was anice place to stay. you could enjoy a nice location to live as well as an area to wander about.
514,"wakep up by the mosque every morning at 6 am is not my cup of tea. the hotel is very old, and the staff is helpful, despite the old hotel's staff are very nice, the room is old and it is a good place to wake up and wakes up at 6.am every night at 6:00 am sams is the best thing i would never go back to sleep, I would always return for dinner, my family would not be able to stay if he is awaken every day at"
515,the service we received was quite good. we had to leave at 7:30 to continue onto Agra and the staff very kindly gave us some breakfast (we were a bit too early for the buffet breakfast).Thugs Bar is also quite fun :) We wanted to try the restaurant in the hotel as well but didn't get there (going by all accounts its meant to be fantastic!)
516,"the Broadway is not the lap of luxury, but a solid mid range hotel in the heart of Delhi that exceeded my expectations. if you are looking for cheap and not in Paharganj, you can go to the theatre to drink."
517,"stayed in a mixture of rooms for approx 4 nights - 2 nights in cheaper rooms which were dirty, noisy and old. upgraded to most expensive rooms at front which had been refurbished for far greater price only to find out that they too were noisy (as all rooms are adjoining with thin wooden internal door so you can hear everything from other rooms), no hot water for days, sheets covered in human hair. the bar is seedy as they come, food overpriced and general hotel over-rated. were going to"
518,the resteraunt chor Bizarre was very busy and the food seemed more for tourist but there are really good vegetarian places only a few blocks away.
519,"we enjoyed our stay at hotel Broadway. the room was OK, the breakfast was good and the staff were very friendly. we ate at the restaurant several times and really loved everything we ordered, in particular the gulab jamun."
520,this hotel was booked as part of a package tour of Rajasthan and Agra. it lived up to most of the reviews - an average sort of place.
521,"my son and I had dinner at the hotel's much praised restaurant, Chor Bizarre, in 2004. the restaurant was a diappointment, with breakfast offered just two kinds of eggs and few other dishes. my single room had one window: it looked out onto the corridor."
522,"the Broadway is on asaf Ali Rd right next to Delhi gate and is ideally located for exploring Old Delhi,Jama Masjid and the Red Fort. the downstairs restaurant is excellent and always busy with Indians and foreigners alike."
523,"we were 9 persons staying at this hotel for some days. I booked there because I had read about it in a Lonley Planet Guide, but we didn't like it because:- the single room had no window!- Outside our room there was an mosque (very noisy very, very early in the morning!!)- The staff was not very friendly or helpfull.- but the corridor and the lift were hot!"
524,"this hotel was good value, not luxurious but good size room, good shower room. was attatched to chor bizzarre restaurant which is very nice!"
525,"a windowless room is the dirtiest hotel room I've ever received. the room was very hard, with previous guests hair, dust, and so on. I slept very poorly the 2 nights in the hotel."
526,when we arrived at the Broadway early in the morning we were shown to room 26. this room had clean beds and clean bathroom facilities with reasonable aircon. the receptionist advised that our'superior room' was now ready. it's worth checking to see what room you are in.
527,"the hotel was clean, but given the conditions of the room next door (two feet from our beds) I would not pay US$100 for this room."
528,"stayed at the Broadway hotel for two nights on arriving in Delhi. it is close to the red Fort, and Chandni Chowk (a maze of narrow streets and alleyways full of shops and Indian life)"
529,the rooms are more or less well maintained and well furnished.Kitchen is also good.Location is probably out of way.Food is good and enough choices.In short good value for money.
530,"i am a business person from Bangalore and am happy to share my experience of my stay in Hotel C Pak Inn. the hotel has been in delhi for 4 days and is located in karol bagh, santa thailand, in the heart of the city of london."
531,"despite several inconveniences during my stay here, I stayed here for 4 days. it is located very well in Karol Bagh and the services you get from the management/staff are good. they advise you in a very firm tone with travel advices etc - you don't feel that they are giving you that particular advice in order to make some rupees (which is something I have often felt when talking to the hotel staff in India)."
532,"I stayed at this hotel after reading the reviews on Trip Advisor. the rooms were really clean and the staff was real friendly and knowledgeable. I would definitely stay here again again, no question."
533,the manager can give you good advice. the hotel is a good budget hotel. nice manager en staff.excellent staff - nice staff staff and helpfull.shops are close and also the metro station.you can book your trips in the hotels.the manager is very helpful.
534,the C Park Inn is one of the best! the rooms are clean and comfortable. the staff is very frienbdly &amp; helpful. and you can't beat the price. this is my SECOND stay here and I plan to stay there again when I return to India. i give the c park inn my very best recommendagtion!
535,"this hotel is clean and comfortable, with good facilities and helpful staff. i have been travelling in india, visiting various cities, and my experience of staying here was far better than in some other places. there were no hassles, the staff were helpful and friendly. they made my business trip no less than a pleasure!"
536,"the best thing about this hotel is the nice cheap currys, the friendly staff the giantic beds and they offer cable which has a few english speaking channels."
537,"the hotel is filthy, the staff are dishonest.Room service tried to charge 200 INR for 2 bottles of coke (menu price less than 40 iNR)"
538,we got a warm welcome but it went downhill from there. the room was dirty and smelly and we couldnt eat it as it wasn't cooked right! security was in the hotel and once youve stayed there anywere else will seem lovely.
539,"the room itself - with a window which was too small to see the wall on the other side of the'street&quot; was some how clean. the basin was broken, the water was so strange that you couldn't use it for brushing your teeth. only towel I got during the whole stay was dirty and had some stains from someone who was spitting pan in it, you will have just one winter blanket, which is useless for temperatures like 20 to 30 degrees in the night."
540,"we stayed there for 3 nights in January. it was by far the worst and most expensive room we had in our holidays. stay away from this [--] hole and look in Lonely Planet for decent rooms...Regards,Christophoph...and look at the decent room... i'd stay here for the rest of the year if it's a shame to stay in the london hotel - we'stayed here despite the fact that we didn't stay there until the end of"
541,"this place is not remotely acceptable even to a backpacker, certainly not at GBP20/night in India. the front desk, these places seems to spend their whole budget on the lobby alone!"
542,"dirty place we had ever stayed, expected better in delhi. smelt of Shitand Urine, may be the Delhi aroma as all Indian ciites now a days."
543,good hotel!It was great. we had a clean comfortable room. checkin &amp; Checkout service was excellent& amp; quick - quick.
544,no airport pick up unless advance payment...reservation did not mean anything......endup picking up taxi (300rs for two)salty running water and it is yellow (non filtered from river yamuna)other people airport picked up was charged dubble becuse diffrent flight....promished 175Rs per person.
545,it was a bit quite.Good Security!Room and bathroom were clean.Bed was so comfortable.Everything was Good.
546,"I stayed for one night here and found it fine. nice staff, good location, airport shuttle came quickly and was resonably priced, the phone worked, as did everything else in the room."
547,"broken toilet, broken and filthy fridge, and broken air conditioner. rooms smelled like dead fish. don't even think of a good nights rest here."
548,hotel consulted me a tour which was great recomended by Raman who runs Akshat Tours and Travel. the hotel was very nice and loved it so much.
549,"there was no hot water, the room was dirty (but not crawling!)) and many fittings were broken. there were a lot of (friendly)staff who never seemed to do anything unless you actually gave them the bin to empty - but it was just about OK for me, but I could not recommend it if you are desperate to save your last dollar."
550,"this is not a nice hotel. it is basic but not at all clean. hotel is currently undergoing building work and there is constant drilling, welding and hammering from early am til late at night. the food was okay and the staffwere nice enough but forget it."
551,I stayed in hotel Chand Palace 2 nights and i was very happy to know this hotel where the employees are very kindly with guests. I will recommend the hotel to my friends.
552,food quality is too good. the hotel is well built n neat &amp; clean place to hang out and for function purposes also for functions purposes.
553,stayed here for 4 nights with my family. the rooms are big and clean - the service is absolutely fantastic. we ordered room service one evening and the food was with us after 10 minutes and was delicious! the buffet breakfast was included.
554,"the modern hotel is a good distance out of the city but the metro link nearby is good. the rooms were very nice. no problem with the mentioned pigeons, room on 7th floor overlooking the park."
555,the whole of the hotel has only purchased around 9 hours for a 15 day period. if my PA was not my wife I would sack her and would not recommend this hotel.
556,"the place is lovely, the staf are great and the food fantastic but expensive.the only other issue was the expensive internet connection. the internet is not a problem."
557,"city park is a modern 7-storey hotel on the northern edge of Delhi. the hotel is easily up to 4* european standards, close to 5*, and is accessible by the main routes in and around Delhi."
