,summarization
435,"The hotel provided a welcoming plate of fruit and cookies upon my late arrival after 1 am. Overall it was utilitarian rather than elegant, but the condition of everything was excellent."
436,We stayed here as part of a private tour and I was impressed with the hotel. It's not in the same league as the big name hotels but I'd stay here again.
437,"Stayed at the Hans Hotel (no longer Hans Plaza) beginning of October. Reception was friendly. The rooms are on the 14 th floor, so there is an excellent view over delhi."
438,"Hans Plaza is a large, convenient hotel in Delhi in the $200-$300 range after taxes. It is an overpriced city. The Indian food was better than the western."
439,An average hotel with lifts that dont work. I made a five minute call to the UK and they tried to charge me over £40.
440,The Hans Hotel is well located in Conaught Place. It ia a bit poor hotel for the price. In Europe you would get a far better hottel fot the price you pay.
441,"Hans Plaza in New Delhi is a budget style, very basic hotel with a 4 star price tag. The rooms were dreadful, small and pokey and threadbare. The Imperial Hotel was one of the best hotels we have stayed in ever."
442,Twin rooms were a good size but it gets a little cramped with the extra bed. TV has over 60 channels but most were in Hindi though there is StarMovies &amp; HBO. Bathroom only have showers (no bathtub) but clean and water pressure is good.
443,"Great location, within walking distance to great restaurants, shopping and subway/metro station right around the corner. The restaurant has good breakfast (Indian and Western)."
444,A fabolous hotel run by a wonderful team. Personalized but at the same time professional. The rooms were spec and clean at all times. The USP of Hans is the splendid view you will have of Delhi from the rooms.
445,"Hans Plaza is a well situated hotel. I was pleasantly surprised with my room, it was larger than average, very clean and of a high 4-star standard. The staff were courtious and very helpful."
446,"Rooms - clean and comfortable - great views over New Delhi. Staff here very friendly, although getting a cup of tea in the morning is a bit of an effort.Location - good central location."
447,"The hotel is close to shopping and has easy access to both New and old Delhi. The room was adequate in size, modern in facilities, comfortable, and clean."
448,"We arrived at 1 p.m. and needed to rest after a long flight. They were repairing a sewer pipe in the next room, hammering it out of concrete. The wait time for food was exceptionally long and the restaurant Manager lined up three of the restaurant staff and started shouting at them in front of customers."
449,Staying in this hotel is really an awful experience which started from the reservation for me. Cable TV was out of order in 2 out of 4 nights I stayed there. From hot water tap once muddy water came out. The electric kettle for tea/coffe in the room had a UK plug which of course does not work in India. The remote control for TV was broke.
450,"Hans Plaza Hotel is located in the centre of the city. The hotel is one of the most expensive in the city, with rooms costing up to £2,000 a night."
451,We booked this hotel on-line. The photos shown were not like the hotel. Internet connection was done via WIFI and very expensive because it was so slow. The roof top resturants was closed too.
452,"We stayed 2 nights in Hans Plaza at arrival and departure from India in Feb-March 06. First time, the room needed renovation but the second room on the 17th floor was OK with a superb view. The lobby area is not very accomodating but the staff was friendly and helpfull."
453,Stayed in this hotel as part of group a three families. Had no problems with our accommodation: it was clean and warm. Restaurant staff charming. Food excellent!
454,"A very nice hotel. Lack of facilities of pool, gym, etc., but the staff are very good and kind. Breakfast buffet is decent."
455,"Dont stay at this hotel if you can help it...disgusting service and manky rooms. Toilet looked clean but there was a nasty smell, the shower was broken! electricity kept cutting out because I was trying to warm up my baby's milk in the kettle."
456,"The room's lock is broken, tv signal is of very poor quality. They also seem to cheat people on the rates mentioned on their website. As soon as you talk to them they change the rates especially if you are foreigner."
457,"I stayed in the Hans Plaza for 3 nights over a 10 day period and was impressed with 2 of the nights I stayed there. Was given a very nice room on the 19th floor each time with excellent decor and in room facilities - good size bathroom also. The 3rd night I checked in there I was given a room which was far inferior to their other rooms. No bathtub, no coffee/tea facilities and not even bedspreads on the beds. In my opinion only 3 star standard for these rooms. I would stay here again but only if guaranteed one for their newer rooms."
458,"I've stayed in Hans Plaza in September 2004. Although the rooms need renovation and the reception area is not that comfortable, I still found it value for money. Connaught Place and Janpath are 15 min. walk away."
459,I am not sure if it is worth to stay into this hotel. I think it is too expensive for what it is. They ripped us off with the taxi cost.
460,Hotel was under construction so difficult to find. Didn't feel very safe at night. Rooms were dodgy (run down and dusty) well overpriced.
461,It was a clean and economically priced hotel right on Connaught Place. Nothing fancy but great as a centrally located place as we came back through Delhi for one night on our way home.
462,Hotel 55 is an adequate hotel with a 70's styled interior. It is centrally located in Connaught Place and thus convenient for exploring. Bedding was musty but clean and the decor is average.
463,"Rooms are clean, staff are friendly, good airport pick up. Be aware of unscrupulous travel agents that roam around and in the hotel."
464,"The &quot;55&quot;"" is located in the heart of New Delhi. The tariff is not bargain basement, but given its plus points I wouldn't stay anywhere else."
465,"Stayed about three nights; safety and courtesy was not an issue for us. Staff was nice and helpful; my emails were always promptly replied to. Rooms are small, bathrooms are purely functional but grotty and inconsistent. Only one shower actually worked; only one provided hot water."
466,thes hotel it is Very good and Comfortable and Good service and the most important thing in Central City I stayed three days in it.
467,"Hotel 55 is a one star hotel with 15 rooms. The breakfast menu was a bit limited, but the food was very good. I would not recommend drinking the hotel's tap water."
468,This is probably the worst hotel that I've resided in New Delhi. The rooms were terrible and moldy. I still remember opening the wardrobe and a flurry of mosquitoes burst out; It was horrifying.
469,"Hotel 55 from the lonely planet is the most squalid and disgusting place i've ever seen (and i've stayed in some dives). Words cannot describe how repulsive this place really is. The hotel website is incredibly misleading and claims to be 3 star, when I would question how it was ever classified as a 1 star."
470,If you are expecting any kind of luxury you will be disappointed. But if you want reasonably priced (in terms of its excellent location) basic accomodation than you can't go wrong.
471,"Hotel 55 was the cheapest we could find but 3000rp (about $80) for this dump was a complete rip off. OK sized room, dirty bathroom, fantastically noisy both from outside and in."
472,"This is absolutely the worst place i have stayed in while in India! It's a windowless, grotty and filthy room smelling of gasoline, with the noise of about 10 indian guys yelling their head off until the early hours in front of your door."
473,"our hearts sank when we walked into our bedroom. it was a complete dump with a rubbish bed and whilst technically it did have an ensuiteshower, i wouldn't have washed a dog in it. another aspect was that at night time there were permanently men sleeping in the corridor right outside our room - i don't know if they were meant to be security, but one was a really skinny old man with a big long beard. you hear them talking when you used the toilet or even when you were lying in bed. when we checked out the owner tried to charge me for 2 nights despite the fact i'd paid online for the first night. at the time i thought it was an innocent mistake but having read some of the other reviews i'm now wondering about that.would never go near this dump again and certainly wouldn't recommend it to anyone."
474,Arrived late at night on train and didn't really have any other options. Best advise stay as far away from here as you can. Try something around main bazaar much cheaper and alot nicer.
475,I booked their driver to pick me up from airport and he didn't turn up. They admitted 'cheating' me out of money but refused to refund it. They said they would call the police if I didn't leave immediately without refund.
476,"We ended up staying here after our travel agent switched us last minute. Staff were rude and dismissive, rooms were like a prison cell and really dirty. The worst thing was the bad smell that was everywhere, the lobby, the rooms, the corridors!! Yuck!"
477,The hotel charges around Rs 4500/= per night for double room. The main advantage of this hotel is its proximity to the best resturants and shopping place in delhi. There is a Mc Donalds right below the hotel.
478,"I stayed at this hotel for 3 nights in Feb 2008. It was my 4th visit to India, and this is the worst hotel I've seen. We were given a camp bed, which promptly collapsed. The showers don't provide hot water in the night."
479,"Unless you are on a budget ($80 and less) stay elsewhere. Don't expect an Indian experience if you stay in Connaught area as its full of touts, crap shopping and food."
480,"Hotel Alka is a place you really have to avoid if you're planning to stay in Delhi. We booked a double room from Italy, looking at the pictures on their site. When we arrived the room (not cheap as it costs at least 3000 Inr) was the smallest room I've ever seen and without even a WINDOW."
481,"Hotel is in excellent location but is quite dingy and not even two star rating. Hotel arranged airport transfer, it cost 925 rs really too much. Most rooms has no natural light."
482,The hotel rooms are not worth talking about. They are unclean and we had a job to get the sheets and towels changed daily. The coffee shop has about 10 waiters who simply wait and watch the TV despite being called for help several times.
483,"Hotel Vikram in Lajpat Nagar, south delhi was clean and lovely and smelled great. Its central but being central in Delhi isn't neccesarily a good thing, it's a really dirty city."
484,"The Alka Hotel is in Connaught Place in the very heart of New Delhi. It's a relatively clean and tidy small hotel, but the decor is dated. The decorators - back in 60's or 70's - went beserk with mirrors!"
485,"One of the travel agents booked this hotel for us (myself, wife and two children) for two nights. We were booked into a deluxe room, which when shown brought my wife to tears. No hot water, unclean (I am being polite) linen and floors."
486,"Spent 5 nights there, and it WAS a disgrace. I was in tears the moment we got there. The lady at the desk was rude, and just did not seem bothered: she kept answering the phone instead of checking us in. Got to our room and realised why it was so dark....there was no windows, it was small and cramped."
487,"We stayed there for 5 nights and I can't say we were very pleased with anything except the Vega restaurant. The staff speak/understand very litle English, our promised (confiremd via email) hotel airport pickup service never arrived and we never got a clear explanation of why... The rooms are small and old. They are also dusty, toilets leak, bathrooms have broken tiles."
488,"Stayed in Alka for 3 nights, do not believe the 4* rating, the hotel would be lucky to score 2* in any other countries. The room was falling apart, with mirrors all around but no natural light. The airconditioning had to be turned on by ringing up the reception. The only good thing about the hotel is probably their vegetarian restaurant, Vega."
489,"In short - horrible location, albeit central, on squalid Connaught place. Cramped, dirty rooms with no window and substandard soundproofing. Staff were rude, and were aggrieved when we didn't give them a tip."
490,Staff were intent on a) getting tips from us and b) entering our room for various &quot;reasons. At one point one of the staff knocked on our door to tell us they had beer for sale (!).
491,Stayed for 3 nights. The room was clean and the staff was the best. They also had amazing food from room service. Quiet at night as well and close to the markets.
492,Location is OK. Relatively quiet street with markets at one end of street. Felt quite safe walking around in the evening. Is a 10 minute autorickshaw ride from Connaught Place.
493,"The room had NO windows, the bed had a bottom sheet and on the top was just a blanket - no top sheet. I was supposed to stay 2 nights but I took a taxi into town and got a flight out of India for the next day. This hotel was listed on an International Hotel site and I have written to them about my concerns."
494,"This was our first stop in India and was organised through the tour company. There was nothing wrong with this hotel, the rooms were clean, the staff were friendly and honest. The location was quiet at night."
495,"A clean place,friendly staff , a good place to start an India tour. Although it was 3.00a.m when we arrived, everybody was extremely helpful. I cannot imagine a better place."
496,"The service was definitely the best amongst all the hotel we have stayed at during our India tour. The Massala Chai was to die for; we ordered it everyday without fail. The rooms were very clean, the furnishing new and the toiletries provided of a 5* standard."
497,"Hotel Aster Inn is a newly established hotel in New Delhi. The rooms were nice and clean, true to the advertising on their website. It is well located, within reasonable reach of New Delhi centre."
498,"thiz was the statrting point in india...as my flight got delayed...the driver was still there a fresh waiting for me with a smile. i was happy that theze people have real pictures on there website of the room they were havin,i got one of them...yeppei."
499,"This place was awful! The location is terrible, possibly one of the worst areas of Delhi. They don't make up your room during your stay... no clean sheets or clean towels! The food arrives on yellow plastic plates, toast wrapped in tin foil."
500,"The hotel was an oasis - friendly, attentive staff and clean rooms. It was also close to the metro, making it easy to get about without shouting for a taxi."
501,"The hotel is a comparative oasis to the bustling and grubby streets that surround it. It's only a five-minute walk to the excellent, if limited, metro system."
502,Hotel is in the heart of Karol Bagh - great for shopping. Staff were extremely friendly and helpful. Breakfasts were delicious and the traditional masala tea addictive.
503,"Air-con and hot shower was no problem, and there was even a fridge! - hotel staff was very courteous, helpful, efficient and speaking perfect English."
504,Aster hotel is just 1 km walking from Jandewalan metro station. Just one station from famous market (Ramakrishna Ashram Marg metro stop) and 5-6 from Chandi Chowk.
505,Telephone booking is always confirmed whenever I have stayed here. Check-in is smooth. Sevice is good. Breakfast is always complimentary which is a plus.
506,Hotel is in the centre of Delhi but is too far away from the airport. The room was very dirty and there were flies and even a cockroach in the bathroom. The area around the hotel was not very nice and you wouldnt want to venture out at night.
507,The hotel is ok as backpacker hotel. The staff is very nice and helpful. But be careful not to accept any extra service from this hotel.
508,Hotel Ivory Palace can best be described as a flea pit. We paid for a super deluxe room (their premium room) with separate bed and a cot for the children at $67.00 AUD a night (2345 INR) We were provided with a room that had:. One bed for all four of us and when we complained an extra mattress was thrown on the floor. Unclean bedding. A hot water system that did not work. Strong kerosene odour for the entire duration of our stay. No clock radio. No coffee and tea making facilities. No complimentary newspapers. No in-room safe.
509,This hotel is one of the small hotels located in crammed up localities of Old Delhi. It is recommended if money and price are a issue for you.
510,"Good place, only several minutes from New Delhi railway station. Marble floor, the staff is nice, asked me for water several times, but finally charge me 50Rs, it's OK. The room is clean, and the hotel price is reasonable cheap!"
511,"We booked a suite thru expedia, selecting the hotel based on its free airport pick up advertised. We arrived at midnight, no one was there. Eventually we arrived, gave our itinerary # and we given a small room. We showed our papers in the am, the manager said the clerk had bad eyesite. We we upgraded to a slightly larger room."
512,The Broadway is a reasonably budget hotel located on the edge of Old Delhi. The rooms we stayed in were of an acceptable standard -not exactly luxurious but you get what you pay for.
513,"It was anice place to stay. You could enjoy a nice place to live as well as a nice location to wander about. So, i liked the place while my stay with some of my friends."
514,"I would never go back to sleep, I would go back for dinner, the restaurant is very nice, the staff is helpful. However the hotel is very old, and being wakep up by the mosque every morning at 6 am is not my cup of tea."
515,It's not a particularly quiet hotel to be honest. We seemed to be lucky in that we got one of the rooms in the back with a view of the Mosque. It's a beautifully furnished hotel and has a certain old world charm to it.
516,"The staff were prompt in providing room service, and kept the rooms clean over the two weeks. The breakfast buffet was was more than adequate. The Muslim neighborhoods behind the hotel are interesting to walk in, but better to go in a group."
517,"I stayed here in a mixture of rooms for approx 4 nights - 2 nights in cheaper rooms which were dirty, noisy and old. The bar is seedy as they come, food overpriced and general hotel over-rated. Wouldnt return here ever, save your money and go elsewhere."
518,I read all the reviews and tried to keep an open mind. When we arrived in the lobby everything went smoothly. They took us up to our room where the hall was cluttered with carts I got worried until we entered the room. spacious beautiful bathroom. comfortable large bed. loved it. overlooked the mosque enjoyed call to prayer.
519,"We really enjoyed our stay at Hotel Broadway. The room was OK (the view was nice, but the room was quite noisy) The breakfast was great and the staff were very friendly. We ate at the restaurant (Chor Bizarre) several times."
520,"The hotel was booked as part of a package tour of Rajasthan and Agra. The common areas were quite clean and attractive, including the breakfast room. The room itself was fairly large, with twin beds, and nicely appointed."
521,"My son and I had dinner at the hotel's much praised restaurant, Chor Bizarre, in 2004. I thought I might take all my meals at the Chor. Breakfast offered just two kinds of eggs -- scrambled one day, hard boiled the next. The entrees I ordered at lunch and dinner were good, not great."
522,"The Broadway is on Asaf Ali Rd right next to Delhi gate. It's ideally located for exploring Old Delhi,Jama Masjid and the Red Fort. The downstairs restaurant is excellent and always busy with Indians and foreigners alike."
523,"We were 9 persons staying at this hotel for some days. The single room had no window! Outside our room there was a mosque (very noisy very, very early in the morning!!)- The staff was not very friendly or helpfull. Yes, the rooms had A/C but the corridor and the lift were hot!"
524,"this hotel was good value, not luxurious but good size room, good shower room, nice and clean, clean sheets and towels, attatched to chor bizzarre restaurant which is very nice."
525,"I got a a windowless room, which is the dirtiest hotel room I've ever received. With a cockroach, previous guests hair, dust, and so on. The bed was very hard and the door had a huge gap under neath."
526,"When we arrived at the Broadway early in the morning we were shown to room 26. This room had clean beds and clean bathroom facilities with reasonable aircon. The restaurant was good, always busy, you need to book yourself a table."
527,"Breakfast was less than desirable, the restaurant was dark and gloomy with a buffet that was questionably fresh. The hotel room was clean, but given the conditions of the room next door (two feet from our beds) I would not pay US$100 for this room."
528,"Stayed at the Broadway hotel for two nights on arriving in Delhi, after reading good reports about it in the Lonely Planet guide. Its very close to the Red Fort, and Chandni Chowk ( a maze of narrow streets and alleyways full of shops and Indian life.)"
529,Not a bad hotel in the national capital. Rooms are more or less well maintained and well furnished. Food is good and enough choices.Location is probably out of the way.
530,Hotel C Park Inn has become a home for me in delhi. Manager Mr.Udham Singh is very kind to help the guests. Hotel is simply a luxurious at a reasonably economical price.
531,"Despite of several inconveniences during my stay here (no toilet paper in my room, no hot water in the evening unless you ask for it beforehand, air condition in room 206 is noisy) I still recommend other people to stay here. It is located very well in Karol Bagh and the services you get from the management/staff are good."
532,"I stayed at this hotel after reading the reviews on Trip Advisor. The staff was real friendly and knowledgeable. I would definitely stay here again, no question."
533,A good budget hotel. Very nice manager en staff. Are very helpfull. Shops are close and also the metro station. You can book your trips in the hotel.
534,"The C Park Inn is one of the best hotels in Karol Bagh, Delhi. The rooms are clean &amp; comfortable. The staff is very frienbdly helpful. And you can't beat the price."
535,"This hotel is clean and comfortable, with good facilities and helpful staff. I have been travelling in India, visiting various cities, and my experience of staying here was far better than in some other places."
536,"Best thing about this hotel is the nice cheap currys, the friendly staff the giantic beds and they offer cable which has a few english speaking channels. Location is not too bad either everything u need is reachable which a short walk."
537,"The hotel is filthy, the staff are all dishonest. The Manager is even worse than the staff, I am used to travelling in India, but this hotel and any in its group are to be avoided."
538,"Do not let the reception fool you, we got a warm welcome but it went downhill from there. The room was dirty and smelly. We got ripped off due to taking the services offered by the hotel. One time we got food from the hotel we couldnt eat it as it wasnt cooked right."
539,"The bathroom was a disaster. The basin was broken, the water was so strange that you couldn't use it for brushing your teeth. The only towel I got during the whole stay was dirty and had some stains from someone who was spitting pan in it. The food was like the street food 20 Rps which you can get everywhere in Delhi but here you will be at least 100 Rps."
540,"We stayed there for 3 nights in January. It was by far the worst and most expensive room we had in our holidays. At the checkout they cheated with the account. So, just stay away from this [--] hole and look in Lonely Planetfor decent rooms."
541,"Dark dingy room with leaking toilet, wierd unfriendly service, yellow dirty cold. Stayed only one night thankfully, was worst night of 4month trip. Place accross the 'street' is a falling down firework factory...take care!"
542,"Dirtiest and filthy place we had ever stayed, expected better in the capital, Holes in the wall with area around the Air conditioner open, noise, cold air and polltuion of delhi can be well savoured here."
543,Good Hotel!It was great. We had a clean comfortable room. Checkin &amp; Checkout service was great&amp; quick.
544,No airport pick up unless advance payment...reservation didnot mean anything......endup picking up taxi (300rs for two)salty running water and it is yellow (non filtered from river yamuna)resturent will bring food from outside and charge guest triple price.
545,It was a bit quite.Good Security!Room and bathroom were clean.Bed was so comfortable.Everything was Good.It was quite.
546,"I stayed for one night here and found it fine. Nice staff, good location, my ride to the airport came quickly and was resonably priced, the phone worked, as did everything else in the room. I would stay here again but next time I go to India I will be on a tighter budget and this will be a little over."
547,"Terrible location. Very dirty. Broken toilet, broken and filthy fridge, and broken air conditioner. Rooms smelled like dead fish. Don't even think of a good nights rest here."
548,I stayed three days in this hotel and found that this place was remarkable with best staff. This hotel consulted me a tour which was great recomended by Raman who runs Akshat Tours and Travel.
549,"Having already booked with Expedia, I was expecting worse. However, I had only paid the minimum rate for a room. There was no hot water, the room was dirty (but not crawling!), and many fittings were broken."
550,"Hotel is currently undergoing building work and together with hotel being built next door means there is constant drilling, welding and hammering from early am til late at night. The food was okay and the staffwere nice enough but if you need some sleep, forget it."
551,I stayed in Hotel Chand Palace 2 nights and i was very happy to know this hotel where the employees are very kindly with guests and i will recommend this hotel to my friends.
552,The hotel is amazing n i m impressed by d management of staff. Food quality is too good..the hotel is well built n neat.
553,The rooms are big and clean. The service is absolutely fantastic. Not much of a business centre (1 computer and a fax/printer!) and not centrally located.
554,The Modern hotel is a good distance out of the city but the Metro link nearby is good. The Cafe 24 restaurant was quite good and I found the breakfast very satisfactory. The Bar was quiet and nice for a quiet drink in the evening.
555,"In the middle of nowhere. 45mins into delhi town, just feels like a lifetime with the taxi drivers. American breakfast!!!!!!! Have I got it wrong, do Americans now have curry and ommlette for breakfast.?"
556,"The place is lovely, the staf are great and the food fantastic but expensive. The only other issue was the expensive internet connection."
557,"City Park is a modern 7-storey hotel on the northern edge of Delhi. It is easily up to 4* European standards, close to 5*. Rooms are very large, the beds soft, the aircon quiet and the bathrooms well equipped."
558,"Clean rooms, seemed far from the city, decent breakfast and good gym (for India). Basic business hotel. We stayed there 3 times over 3 weeks and each time the Internet was down which was pretty annoying."
559,"We stayed for one night at this hotel on the first leg of the Golden Triangle tour. The food was very nice, though terribly expensive even by London standards. The biggest problem we had was that of sleep (or lack of)"
560,"The hotel is so far out of the city centre that it is difficult to use as a base for your own sightseeing. Most of the guests seemed to be on tours and they only stay here briefly. The coffee shop downstairs was a pleasant place for breakfast, plenty of choice."
561,"This was part of the Golden Triangle Trip (so Hotels booked for us) There is a slum just next to it (with, we were told, Bangladesh refugees) with sludge/sewage/junk on the pavement."
562,"The City Park is totally remote, far from anything and the former mall next door is empty except for a cookie store and an optical shop. Dogs barked tor hours in the night. The staff was rude and inefficient. The breakfast was tourist oriented and the service was slow."
563,"This hotel was arranged for us as part of a tour so we didn't have any choice in where we stayed, but we weren't disappointed. The hotel was clean, comfortable and had the best bed out of the 5 hotels we stayed in during our 2 week trip."
564,We stayed at City park as part of a tour around india. The rooms were big with all modern ammenities. The manager was very friendly and made sure we had a good time.
565,"A 4 star hotel having all the 5star facilities and amenities at a great price,will love to stay here again on my next visit to delhi. Staff was very friendly and helpful the environment with in a hotel was gud,and food was excellent specially yellow chilli."
566,"I was booked at the Jaypee Siddarth; however, despite having a confirmed reservation, I was rebooked at the City Park Hotel. While it is not the most centrally located, the rooms are clean and the customer service is exceptional."
567,"The City Park is a 4 star hotel with 0 star customer care standards. We were pleasantly surprised upon arrival as the lobby and surrounding areas looked welcoming, spacious and well laid out. The staff at check in were cordial rather than friendly."
568,The hotel derives its name from a city park directly opposite. The aruvedic massages are cheaper then in Kerala with a one hour massage for 600 inr plus tax.
569,"Front desk staff were very good, the food was good (breakfast was fair, but the dinners were excellent), and the room was clean. Laundry service was prompt and very good as well. It is just not in a very good location."
570,This hotel is located in a North Delhi residential area while most of Delhi's other good hotels are located in posh south delhi localities. There is absolutely no attraction around this hotel. The only place which is closeby (relatively only) is some of the Old Delhi attractions about 12-15Kms from this place.
571,"we stayed here as the 1st night of our golden triangle tour. it wasthe best of the 3 hotels we stayed at - very clean, good rooms, and good service. breakfast was not so good but we got much more than we expected."
572,"The rooms are clean, are well decorated and a good size. The restaurant was excellent and probably one of the best we ate at in India!! There is also the usual facilities at the hotel, Gym, swimming pool, 24hr room service."
573,"All staff were atttentive but held out their hands to make their wages, not tips. One would bring 1 towel, get a tip and return with a helper and another towel and want more money for his return PLUS his mate. Then flowers, then soap, then more bottled water at US$4 per bottle."
574,i was at Clark heights to meet my girl friend came from Dubai. First i was very hazy about where she is staying. After reaching there we have found that safe and nice pl;ace in the main city.
575,"The rooms in this hotel were adequate though super super deluxe. Not great value for money and very noisy due to construction work and the busy road outside. Staff on reception were nice and friendly, with the exception of the travel agent who charged extortionate prices for hiring hotel taxis."
576,"Rooms were ok, but everything else was terrible about this place. Staff changed their pricing on us many times (and of course, they over charged us). They don't have a restuarant although they say they do."
577,We booked 10 rooms for the marriage purpose for three nights stay. Hotel staff was very helpful speciall the lady at reservation helped us alot in arranging the batchlores party at the basement.
578,We stayed at Clark Heights for 5 days in November. Some of the staff were very nice but we were charged extortionaly for organising taxis with the hotel. Service charge on train tickets were high. Recommend to get Rickshaws than use their taxis.
579,"The hotel is currently undergoing building works so you are staying on a construction site. The reception staff were helpful, except for the woman who arranged our trip to Agra and Amritsar. All in all, we weren't very impressed with this hotel."
580,Paying more money than the nearly hotels we expected more standard butthere was seepage in our rooms and it was smelling. We do notunderstand as to then give the room to customers.
581,I book room from internet. No pick up and no refund. 80 Kms. small taxi for 15 Rs. 1 km. High price hotel/ guest house.
582,"Friendly staff an ok restaurant with cheap food. The hotel has a nice location - yes, there is noise from the streets - but nothing you couldn`t live with."
583,I was there in months of september with my father. I found very helpful and caring people and they helped me in my further tour as well and very well organized by the hotel staff. The rooms are very nice and specious I love to give **** star for this hotel.
584,as i wnt to d hotel i was really impresd by the intrir.................the staff was really good and coperative..............i enjoyed hotel.........the food i had there was delisious.......
585,"The hotel was clean, room mid size. No pick up at the airport. Very noisy all night. Staff was nice location was ok; we prepaid 250 IR for a car taxi from airport."
586,The experience at clark was better than any five star hotel I v stayed in. The rooms are way bigger n nicer than most. The food was divine. All my out of town tours to Amritsar n Agra were very well arranged.
587,I arrived in Nov in Delhi with my family. We booked hotel clarck online because it was easy. As expected we were picked up at the airport. The rooms were not as nice as the photos online.
588,"I booked this hotel on a friend’s recommendation and after looking the reviews on trip advisor. The staff is just eager to sell you tour to Agra and Jaipur. There ware small insects in the room, the bathroom has a foul smell. Charge is quit high compared to the services."
589,"I enjoyed a great 2-days stay over there with my colleagues. The interior of the hotel is very impressive and I must give a special compliment 2 the hotel staff too. The service is really upto the mark and moreover, what I liked the most is its location."
590,"Good value for money. Staff was courteous , freindly and very helpful. Rooms were nicely done and clean. The late night coffe shop was a blessing for us due to late night at wedding function."
591,"I stayed their for 2 nights and 3 days. I must say its the best place have never been. Infrastructure is beautifully designed, internet facilities provided by the hotel was the best the speed was good."
592,I booked this hotel from internet as the hotel fails to pickup me from airport even the service at night was not good. Many time you think for the best but you get nothing and you get bad experience.
593,"Hotel Clark Heights was a wonderful experience. Room was immaculately clean, the bedding and pillows were heavenly. All staff went out to be helpful and pleasant."
594,"Clark Heights hotel is in a crowded road, but accessible to the mero which is about a km away in walking. The double delux room is a bit small, but we found it quiet, as it was the corner room for us. The menu is mostly North Indian food with some Chinese and Continental options."
595,"This is decent hotel if you want to live around patel nagar, but it is on a very busy intersection. Do not book room by metra side, or you will not be able to sleep. Hotel staff was very good."
596,First time in India and after a poor night in Mumbai I was pleasantly surprised by the Clark Heights hotel. Convenient to the Delhi Metro I found no difficulty getting around.
597,"The rooms were dull and not clean (a thick layer of dust covered mostof the furniture); the bathroom consisted of a shower, an overflowingtoilet and a bucket; the ceiling was covered with small flies; thehotel was noisy (children running around and constant unidentifieddripping in each room during the whole night)"
598,This hotel is very old and run down. In the room the ceiling fan is too loud to run and to turn off the lamp next to the bed you have to unscrew the bulb. The fuzzy TV works but the remote doesn't .... I hope you are getting the picture.
599,"i been to this hotel in this month only, and find it worth it for money, check-in take just 3-4min to get our rooms, housekeeping manager is really helpful, all the staff members are really nice n helping. Even there travel desk is very helpful for us.Awesome nad enjoyable trip!!!! gr8t memories."
600,"The hotel is located in a very busy, noisy and rowdy area. However, the staff are curteous and always at one's service. The rooms are neat, the food is satisfactory."
601,"The hotel is well positioned, the staff are very friendly and fell over themselves to organise trips for us. Rafiq Khan who operates through the hotel for Indian Tribal Tours arranged for us to have a driver for the say."
602,The air con make so much noise that you can’t even get a nap for 5minutes not recommended. Room is ok but all fixtures are old.
603,A normal hotel which is on the road with lot of traffic noise allnight. They took $70 from me which is overpriced for the service and the kind of room given to me. I got amuch better quality and service at 40$.
604,The hotel arranged to meet &amp; collect us from New Delhi Railway station at 6.30am. The included breakfast was very good. I would highly recomment this place for anyone passing through Delhi.
605,This hotel is in a very busy are. There are many hotels nearly. Therecharges are higher and services are not at all good. We checked out ofthe hotel next morning and the reception took 30 minutes to check usout.
606,"This hotel has its reception area open to a very undesirable tour operator. He was present in the hotel lobby bothering the tourists on all 3 days we where there. Despite this negative first impression, the food was great as was its price, service could be better. Air conditioning was not working in our room and it took over 2 hrs to relocate us."
607,"Rooms are on the dark side but they are clean and comfortable with satelite TV, Air Con and a Fan. Hot water only worked in the morning. I like the neighborhood of Karol Bagh."
608,"Clark hotel is located in a busy street, But was realy surperised once we enter. Staff was realY helpful, free breakfast and free pick up from airport is really a big advantage. Will visit again in november, thanks to there hospitality."
609,"Me my wife stayed here for a good 3 days good. Rooms were not that bad but not that good too. Breakfast was average. High price for hotel like this, they have arrangement with bad travel agents."
610,"Our travel agent booked this hotel for 1 night but we arrived very late at night there and ended up to book 1 more night directly at the front desk who were very polite,gentle and helpfull always. The service is ok most of the time we had our meals on the rooftop restaurant with quality dishes."
611,Airport pick was very helpful. Little expansive but Delhi's hotels are expansive compare to other cities. Use travel sites to get good deal.
612,The hotel is situated right in the heart of the Karol Bagh district of New Delhi- a fantastic place to get a feel for real street life. The rooftop restaurant served excellent breakfasts (recommended the on-demand omelettes and coffee)
613,"I booked an executive room in this hotel for a one night stay, which included an airport pickup. The room was clean (though small in size) including the linen. The staff were friendly and all queries were looked ater. And yes the bed is amazing!"
614,"i stay 3 nights and person of the hotel was very nice , and the rooms are very clean , food good too... The travel desk of the Hotel very helpful &amp; friendly Mr. Rafiq and Mr. Haroon."
615,The staff at the front desk were really helpful and gave great directions to the various places I wanted to go to. I was also pleasantly surprised by the open rooftop breakfast area/restaurant.
616,"Fab hotel - possibly a bit pricier than some in Delhi - £30 a night. Very comfortable, great food, but mostly, excellent service and friendly."
617,"The hotel is lovely inside, the room was spacious, the A/C worked, the restaurant was pleasant and the staff were more than helpful. The bathroom was somewhat grubby but that is a recurrent problem throughout India. Karol Bagh isn't a clean, Westernised area like the areas that house some of the 5 star hotels."
